postcode,latitude,longitude
3505-vic,-34.181435,142.036212
3506-vic,-35.193809,141.369431
3507-vic,-35.098252,142.317313
3508-vic,-12.4643506,130.842693
3509-vic,-35.168995,141.809221
3510-vic,-12.4643506,130.842693
3511-vic,-12.4643506,130.842693
3512-vic,-35.167067,141.409329
3513-vic,-12.4643506,130.842693
3514-vic,-12.4643506,130.842693
3515-vic,-36.757115,144.13211
3516-vic,-36.631342,144.016503
3517-vic,-36.452382,143.882192
3518-vic,-36.536535,143.571511
3519-vic,-12.4643506,130.842693
3520-vic,-36.305922,143.603645
3521-vic,-37.138186,144.819216
3522-vic,-37.049268,144.711112
3523-vic,-36.877221,144.669002
3524-vic,-12.4643506,130.842693
3525-vic,-36.327516,143.319437
3526-vic,-12.4643506,130.842693
3527-vic,-36.110714,143.311611
3528-vic,-12.4643506,130.842693
3529-vic,-35.850844,143.197465
3530-vic,-35.779567,143.196265
3531-vic,-35.751451,142.862054
3532-vic,-12.4643506,130.842693
3533-vic,-35.41075,142.803252
3534-vic,-12.4643506,130.842693
3535-vic,-12.4643506,130.842693
3536-vic,-12.4643506,130.842693
3537-vic,-36.091748,143.698717
3538-vic,-12.4643506,130.842693
3539-vic,-12.4643506,130.842693
3540-vic,-35.872292,143.565581
3541-vic,-12.4643506,130.842693
3542-vic,-35.672954,143.523726
3543-vic,-12.4643506,130.842693
3544-vic,-35.397932,143.210967
3545-vic,-12.4643506,130.842693
3546-vic,-35.087544,142.911054
3547-vic,-12.4643506,130.842693
3548-vic,-12.4643506,130.842693
3549-vic,-34.780269,142.79665
3550-vic,-36.76001,144.289503
3551-vic,-36.743884,144.342241
3552-vic,-36.7529157,144.2956522
3553-vic,-12.4643506,130.842693
3554-vic,-12.4643506,130.842693
3555-vic,-36.806417,144.242655
3556-vic,-36.648027,144.189239
3557-vic,-36.617714,144.500801
3558-vic,-36.473808,144.463023
3559-vic,-36.536348,144.778702
3560-vic,-12.4643506,130.842693
3561-vic,-36.27926,144.67044
3562-vic,-36.046245,144.527648
3563-vic,-36.271453,144.498725
3564-vic,-36.150377,144.778196
3565-vic,-12.4643506,130.842693
3566-vic,-35.949427,144.354929
3567-vic,-35.891832,144.320476
3568-vic,-35.827886,144.195043
3569-vic,-12.4643506,130.842693
3570-vic,-36.532214,144.212796
3571-vic,-36.364128,144.215772
3572-vic,-36.342115,144.450379
3573-vic,-36.169927,144.244005
3574-vic,-12.4643506,130.842693
3575-vic,-36.052262,144.054313
3576-vic,-36.123909,143.932037
3577-vic,-12.4643506,130.842693
3578-vic,-12.4643506,130.842693
3579-vic,-35.718506,143.944373
3580-vic,-35.637529,144.12438
3581-vic,-35.657848,143.811219
3582-vic,-12.4643506,130.842693
